iter	MultiClass
0	1.293978882
1	1.215976983
2	1.14993942
3	1.09361693
4	1.042577887
5	0.9963769806
6	0.9550088233
7	0.9191881026
8	0.886085735
9	0.8526742886
10	0.8234927307
11	0.7939508648
12	0.7687540441
13	0.743127949
14	0.7182827202
15	0.6950605969
16	0.6729855228
17	0.6525486446
18	0.6331070421
19	0.6165604262
20	0.599466744
21	0.5849502383
22	0.568945131
23	0.5520132501
24	0.5363037458
25	0.5234943832
26	0.5119744171
27	0.4987745619
28	0.4868857448
29	0.4767527025
30	0.4644420068
31	0.4552584971
32	0.4454002202
33	0.43621678
34	0.4245034998
35	0.4147073536
36	0.4064786461
37	0.3985866586
38	0.3905988171
39	0.3828388712
40	0.3746776311
41	0.3660541495
42	0.3589588632
43	0.3518370706
44	0.3449385237
45	0.3400608534
46	0.3341813478
47	0.3284595067
48	0.3242161364
49	0.3154713435
50	0.3086205203
51	0.3043187967
52	0.2988501683
53	0.2933220503
54	0.2872829479
55	0.2814330286
56	0.2774877436
57	0.2720849202
58	0.2672025311
59	0.2622545123
60	0.2587292658
61	0.2546233648
62	0.2504570969
63	0.2456606873
64	0.2396875604
65	0.2348063009
66	0.2304231116
67	0.2269477672
68	0.2224060538
69	0.2191351362
70	0.2160028199
71	0.2120382042
72	0.2086304477
73	0.2048900579
74	0.2021719374
75	0.1980586084
76	0.1945481389
77	0.1914943775
78	0.1887082987
79	0.1861315263
80	0.1830431614
81	0.1798960877
82	0.176484215
83	0.1742879068
84	0.1707826573
85	0.1680871187
86	0.165227939
87	0.1636075559
88	0.1609541621
89	0.1582506203
90	0.1549787714
91	0.1530278997
92	0.150322503
93	0.1482222998
94	0.1463379098
95	0.1442046102
96	0.1421045984
97	0.1403304279
98	0.1382973388
99	0.1366374924
100	0.134884661
101	0.1329226003
102	0.1310006157
103	0.1291703352
104	0.1275997863
105	0.1254721693
106	0.1238333207
107	0.1217772005
108	0.120197889
109	0.1187155307
110	0.1176689391
111	0.1163998304
112	0.1146744154
113	0.113579698
114	0.1120652277
115	0.1104883058
116	0.1089696525
117	0.1079580846
118	0.1066216452
119	0.1051005178
