iter	Passed	Remaining
0	33	8270
1	66	8230
2	101	8359
3	135	8313
4	168	8256
5	201	8199
6	235	8158
7	268	8112
8	301	8066
9	333	8012
10	366	7964
11	400	7937
12	433	7904
13	467	7880
14	500	7841
15	533	7806
16	568	7786
17	601	7756
18	637	7746
19	670	7715
20	705	7693
21	739	7663
22	773	7630
23	807	7608
24	842	7579
25	875	7545
26	908	7503
27	942	7471
28	976	7442
29	1009	7402
30	1043	7368
31	1076	7334
32	1110	7301
33	1144	7269
34	1179	7242
35	1212	7206
36	1245	7171
37	1279	7137
38	1312	7099
39	1345	7062
40	1393	7105
41	1431	7091
42	1464	7051
43	1496	7007
44	1530	6970
45	1562	6929
46	1594	6886
47	1627	6847
48	1659	6807
49	1694	6777
50	1729	6748
51	1761	6708
52	1795	6673
53	1827	6634
54	1860	6597
55	1893	6560
56	1926	6523
57	1960	6488
58	1992	6448
59	2024	6411
60	2057	6374
61	2090	6337
62	2122	6299
63	2154	6262
64	2188	6228
65	2220	6190
66	2253	6154
67	2286	6119
68	2319	6083
69	2351	6045
70	2384	6010
71	2417	5976
72	2449	5938
73	2482	5903
74	2514	5866
75	2547	5833
76	2580	5798
77	2612	5761
78	2646	5728
79	2679	5694
80	2712	5659
81	2744	5623
82	2779	5592
83	2812	5558
84	2846	5524
85	2879	5490
86	2912	5456
87	2944	5419
88	2977	5385
89	3010	5352
90	3044	5318
91	3076	5283
92	3108	5248
93	3141	5213
94	3174	5178
95	3206	5143
96	3237	5107
97	3270	5072
98	3302	5037
99	3334	5001
100	3365	4964
101	3398	4930
102	3430	4895
103	3463	4861
104	3495	4826
105	3528	4793
106	3561	4759
107	3594	4725
108	3626	4691
109	3658	4656
110	3690	4621
111	3721	4584
112	3753	4550
113	3785	4516
114	3818	4482
115	3850	4447
116	3881	4412
117	3913	4377
118	3945	4343
119	3978	4310
